value,variable
232.371,enhanced
232.863,enhanced
233.657,enhanced
237.579,enhanced
239.401,enhanced
239.696,enhanced
239.919,enhanced
241.767,enhanced
242.205,enhanced
242.296,enhanced
243.24,enhanced
243.692,enhanced
243.888,enhanced
244.149,enhanced
244.818,enhanced
244.851,enhanced
245.011,enhanced
245.175,enhanced
246.078,enhanced
246.816,enhanced
248.103,enhanced
249.124,enhanced
251.516,enhanced
252.124,enhanced
252.329,enhanced
252.639,enhanced
253.169,enhanced
253.622,enhanced
254.371,enhanced
254.569,enhanced
255.466,enhanced
255.989,enhanced
256.885,enhanced
257.204,enhanced
257.567,enhanced
257.967,enhanced
259.725,enhanced
259.728,enhanced
260.06,enhanced
260.354,enhanced
261.297,enhanced
261.553,enhanced
261.634,enhanced
261.715,enhanced
262.086,enhanced
263.363,enhanced
264.046,enhanced
266.16,enhanced
267.018,enhanced
267.213,enhanced
267.431,enhanced
267.647,enhanced
267.987,enhanced
268.424,enhanced
268.716,enhanced
268.904,enhanced
269.543,enhanced
269.562,enhanced
269.569,enhanced
270.095,enhanced
270.152,enhanced
270.307,enhanced
270.758,enhanced
271.206,enhanced
272.039,enhanced
272.101,enhanced
272.962,enhanced
273.001,enhanced
273.514,enhanced
274.471,enhanced
274.921,enhanced
275.215,enhanced
276.695,enhanced
277.735,enhanced
277.942,enhanced
278.094,enhanced
278.34,enhanced
278.53,enhanced
279.086,enhanced
279.308,enhanced
279.401,enhanced
279.804,enhanced
280.08,enhanced
280.226,enhanced
280.462,enhanced
280.936,enhanced
281.353,enhanced
281.779,enhanced
281.867,enhanced
282.862,enhanced
282.933,enhanced
283.217,enhanced
284.016,enhanced
285.248,enhanced
286.395,enhanced
286.947,enhanced
287.581,enhanced
289.486,enhanced
289.728,enhanced
289.927,enhanced
289.94,enhanced
291.538,enhanced
291.582,enhanced
292.423,enhanced
293.008,enhanced
293.012,enhanced
293.656,enhanced
294.759,enhanced
295.019,enhanced
295.649,enhanced
295.743,enhanced
296.484,enhanced
296.97,enhanced
297.064,enhanced
299.116,enhanced
299.961,enhanced
300.173,enhanced
300.351,enhanced
300.843,enhanced
300.863,enhanced
302.912,enhanced
303.511,enhanced
304.61,enhanced
304.799,enhanced
304.907,enhanced
305.076,enhanced
307.075,enhanced
307.158,enhanced
307.803,enhanced
308.131,enhanced
309.753,enhanced
310.012,enhanced
310.207,enhanced
310.586,enhanced
310.672,enhanced
311.654,enhanced
311.882,enhanced
312.527,enhanced
312.599,enhanced
312.631,enhanced
313.113,enhanced
313.975,enhanced
315.121,enhanced
315.695,enhanced
316.013,enhanced
316.391,enhanced
316.494,enhanced
316.603,enhanced
317.422,enhanced
317.471,enhanced
317.736,enhanced
317.771,enhanced
318.269,enhanced
318.884,enhanced
320.312,enhanced
321.909,enhanced
322.284,enhanced
322.464,enhanced
322.948,enhanced
327.017,enhanced
328.06,enhanced
329.353,enhanced
329.444,enhanced
329.894,enhanced
330.891,enhanced
332.477,enhanced
334.094,enhanced
334.167,enhanced
334.871,enhanced
335.304,enhanced
335.383,enhanced
335.753,enhanced
336.112,enhanced
336.162,enhanced
336.787,enhanced
337.183,enhanced
338.191,enhanced
338.609,enhanced
339.097,enhanced
340.278,enhanced
340.755,enhanced
341.023,enhanced
343.165,enhanced
344.482,enhanced
345.773,enhanced
346.067,enhanced
347.41,enhanced
348.788,enhanced
349.123,enhanced
349.206,enhanced
350.032,enhanced
351.93,enhanced
352.772,enhanced
352.95,enhanced
353.751,enhanced
355.777,enhanced
356.134,enhanced
356.594,enhanced
356.63,enhanced
356.789,enhanced
356.974,enhanced
357.622,enhanced
359.57,enhanced
360.998,enhanced
362.18,enhanced
362.367,enhanced
362.614,enhanced
362.883,enhanced
363.427,enhanced
363.767,enhanced
364.229,enhanced
364.58,enhanced
364.882,enhanced
366.783,enhanced
367.051,enhanced
368.567,enhanced
368.87,enhanced
369.848,enhanced
370.335,enhanced
